Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A855691,"811 BURNSALL GATES DR78660
(30.417121, -97.648161)",Yes (come to the shelter),04/22/2022,Dog,Pit Bull Mix,Gray/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855691
A855620,"8203 COLONY LOOP DRIVE
AUSTIN 78724
(30.297199, -97.628538)",Yes (come to the shelter),04/20/2022,Dog,Cairn Terrier Mix,Tan,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855620
A855431,"1016 SOUTH MEADOWS DR
AUSTIN 78758
(30.376034, -97.696192)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855431
A855432,"1016 SOUTH MEADOWS DR
AUSTIN 78758
(30.376034, -97.696192)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855432
A855461,"AUSTIN COLONY BLVD AUSTIN 78725
(30.242394, -97.615386)",No (contact for more info),04/18/2022,Cat,Siamese,Flame Point,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855461
A855780,"6906 MEADOW RUN
AUSTIN 78745
(30.198094, -97.798304)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Calico/Brown,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855780
A855791,"7311 OAK MEADOW DR
AUSTIN 78704
(30.23473, -97.880784)",Yes (come to the shelter),04/23/2022,Cat,Domestic Medium Hair,White/Gray,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855791
A855498,"AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),04/19/2022,Cat,Domestic Shorthair,Black,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A855498
A720883,"10222 MISSEL
THRUSH AUSTIN 78750",Yes (come to the shelter),04/21/2022,Cat,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A720883
A855702,"8713 PINERIDGE DRIVE
AUSTIN 78729
(30.450137, -97.775121)",Yes (come to the shelter),04/22/2022,Dog,Pit Bull,Blue/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855702
A855497,"AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),04/19/2022,Cat,Domestic Shorthair,Black,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A855497
